config,model,tier,loss,params,n_folds,n_tested,latency_s,val_f1_all,val_f1_all_std,val_f1_nobg,val_f1_nobg_std,val_sens,val_sens_std,val_spec,val_spec_std,test_f1_all,test_f1_all_std,test_f1_nobg,test_f1_nobg_std,test_oa,test_oa_std,test_tt_sens,test_tt_sens_std,test_tt_f1,test_tt_f1_std
1dnn_ce_bal_vpfabelo,1D-NN-Baseline,1,CE,17000000,5,5,,73.68908290179125,7.651354125888301,67.59901563878152,9.084557726147487,79.37276069885233,4.931356825558174,96.59712600669502,1.741672486954923,71.26733576539571,3.1124988302640837,68.45879934959241,2.4571674940219723,79.88886410188809,3.786070007882266,51.44444444444445,15.423358267475784,41.94416673075444,5.946637986170301
1dnn_ufl_bal_vpfabelo,1D-NN-Baseline,1,UFL,17000000,5,5,,73.33463525796388,6.7872603600417785,67.5642545018228,8.2224390595004,77.97170869491077,5.344833485027563,96.7442761216351,1.516781143505869,70.13017296415092,1.5377513640869884,69.46745863338974,1.6323129447754634,79.58749923948974,1.6775660791716485,52.6074074074074,10.203902424629417,42.67131312524409,3.8712282524388866
1dnnfabelo_ce_bal_vpfabelo,1D-NN-Fabelo,1,CE,4936,5,5,,75.69227799118968,4.987708962299854,70.45174013747251,6.331501102274703,77.91591653765309,4.587224349071006,96.3026651616212,0.837545685284754,72.58219571574898,2.513448344615768,70.76945318282655,3.1762746119148977,79.69741832119897,2.0095852889157553,62.43703703703704,9.943778969388042,44.634677049931284,7.102601876745906
1dnnfabelo_ce_nobal_vpfabelo,1D-NN-Fabelo,1,CE,4936,5,5,,78.73987510024571,6.731047631979657,73.0598580794494,8.626833771857495,83.84120621029719,4.390047301173515,97.36832085804203,0.8385965157283269,79.94485284359872,3.6544493796853783,78.92527816551134,4.761307853649522,84.48883570950537,0.909964077896198,60.711111111111116,14.435886847746238,65.82339477171425,14.090944929983156
1dnnfabelo_dl_bal_vpfabelo,1D-NN-Fabelo,1,DL,4936,5,5,,68.0128021980025,7.686773117255849,62.58380474537027,7.780442932977622,71.1958504602238,7.189218145074181,94.69423602502431,3.3588220634924926,62.04364229461342,7.982283977939055,61.83589577937737,9.28032140607148,73.26127076192988,4.694924382827863,27.370370370370374,21.003657399192672,20.48339708409557,11.810030666982687
1dnnfabelo_dl_nobal_vpfabelo,1D-NN-Fabelo,1,DL,4936,5,5,,75.19357613920677,4.314053364796688,68.27618316889291,5.527407032576644,73.71699685305082,2.364576673853975,97.0723215822012,0.9735013211766512,74.43037079095048,1.2629934415508803,71.59229498233528,1.8066552351647276,83.6180007706504,0.3848725800612439,32.45925925925926,4.273726155683385,41.86780133519184,5.550690224617835
1dnnfabelo_fl_bal_vpfabelo,1D-NN-Fabelo,1,FL,4936,5,5,,73.78241102992787,8.341820861441743,66.58833326354032,9.46935497511602,74.27068103446564,3.458297553148102,95.95364018260328,2.1315207427428633,70.891006322369,3.7803735067856814,69.92703647521176,4.21028215862147,79.97120201180311,2.906117186471517,58.17037037037037,12.292092454088637,44.93555362107214,10.71149512801671
1dnnfabelo_fl_nobal_vpfabelo,1D-NN-Fabelo,1,FL,4936,5,5,,70.60281031608004,7.066593719411745,66.2683056002205,8.61135127718621,82.58753657823348,5.414206259363806,95.2264602269864,1.5040201599378347,66.18333262865936,1.64095811451388,66.63494796217837,1.3988174325595013,73.6506520107891,1.8808229142053463,73.71111111111112,3.736194083249581,32.95415031543391,3.4958189071779318
1dnnfabelo_ufl_bal_vpfabelo,1D-NN-Fabelo,1,UFL,4936,5,5,,71.12303673759466,7.785588262858589,67.66849792341517,9.335727804186233,76.87199772455155,5.631269785219605,95.42710070188623,1.3516522826917392,68.230227847887,2.5663176424447043,67.35001624025382,3.1620191298252642,77.63734815145308,1.6692687493461016,59.62962962962963,8.701083167360396,39.66802367887978,7.3298316966586885
1dnnfabelo_ufl_nobal_vpfabelo,1D-NN-Fabelo,1,UFL,4936,4,4,,76.24036634334128,8.910701090000025,69.68680690005787,11.405077349687279,77.3406834667182,5.877677545301167,96.35486219626182,1.0916913511198254,81.87411785901773,1.3227243064398801,81.28207069374236,1.4475011601255647,85.55963414386827,0.4398232944998544,66.24444444444444,6.764578069688115,69.01412337878969,5.08008402261375
