run,config,model,tier,loss,balance,fold,params,val_f1_all,val_f1_nobg,val_sens,val_spec,best_epoch,n_epochs,test_f1_all,test_f1_nobg,test_oa,test_tt_sens,test_tt_f1,latency_s
1dnn_ce_bal_fold1_vpfabelo,1dnn_ce_bal_vpfabelo,1D-NN-Baseline,1,CE,bal,1,17000000,66.54096770030968,60.79896607626676,79.37276069885233,92.8752983994079,6,21,64.96782939829366,65.93596186822674,71.10385527996918,85.65185185185186,34.28867966491215,
1dnn_ce_bal_fold2_vpfabelo,1dnn_ce_bal_vpfabelo,1D-NN-Baseline,1,CE,bal,2,17000000,89.27865212286012,86.72198311606358,90.34444238996811,98.00550069434456,30,45,73.80009424130071,72.27803866814274,81.79277616662273,52.029629629629625,44.599657121087056,
1dnn_ce_bal_fold3_vpfabelo,1dnn_ce_bal_vpfabelo,1D-NN-Baseline,1,CE,bal,3,17000000,73.68908290179125,67.59901563878152,75.9925320763979,96.84156286838056,6,21,71.26733576539571,68.45879934959241,80.57271492019711,40.400000000000006,41.94416673075444,
1dnn_ce_bal_fold4_vpfabelo,1dnn_ce_bal_vpfabelo,1D-NN-Baseline,1,CE,bal,4,17000000,73.51842625026987,67.26553629911592,80.14757023677477,95.4259867360579,13,28,69.14246758150803,67.30362202060681,78.2672534425764,51.44444444444445,33.903683272718396,
1dnn_ce_bal_fold5_vpfabelo,1dnn_ce_bal_vpfabelo,1D-NN-Baseline,1,CE,bal,5,17000000,80.1809034771408,77.35496584154517,78.5734108998591,96.59712600669502,18,33,72.6453787539143,71.63807072129612,79.88886410188809,50.49629629629629,49.23265807243708,
1dnn_ufl_bal_fold1_vpfabelo,1dnn_ufl_bal_vpfabelo,1D-NN-Baseline,1,UFL,bal,1,17000000,66.03749443218315,58.69456162303624,76.80371610959635,93.5356057279787,5,15,69.40933815421297,69.46745863338974,76.93078342696059,70.16296296296296,39.63511590928111,
1dnn_ufl_bal_fold2_vpfabelo,1dnn_ufl_bal_vpfabelo,1D-NN-Baseline,1,UFL,bal,2,17000000,86.75840133309252,83.6914863991712,89.59768448996573,97.74965997447015,12,27,73.30004123779959,71.32113885648951,82.01869841205459,45.76296296296296,42.870029838317954,
1dnn_ufl_bal_fold3_vpfabelo,1dnn_ufl_bal_vpfabelo,1D-NN-Baseline,1,UFL,bal,3,17000000,72.72702462494844,67.24567466972,73.90789610019033,96.80475955631287,12,27,71.70673164107937,70.15071001068435,79.65117929789693,54.74074074074075,44.511368769763585,
1dnn_ufl_bal_fold4_vpfabelo,1dnn_ufl_bal_vpfabelo,1D-NN-Baseline,1,UFL,bal,4,17000000,73.33463525796388,67.5642545018228,79.70938574994005,94.91387178739741,17,32,69.25856029907833,66.41105193793013,79.58749923948974,39.91851851851852,33.58050847457627,
1dnn_ufl_bal_fold5_vpfabelo,1dnn_ufl_bal_vpfabelo,1D-NN-Baseline,1,UFL,bal,5,17000000,76.98772511859214,73.04386671608313,77.97170869491077,96.7442761216351,23,33,70.13017296415092,68.91169867652994,78.37189965320732,52.6074074074074,42.67131312524409,
